#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K01079,1312.4699999999998,972.08
K01081,1054.64,610.91
K01082,1637.64,1067.5
K01083,304.84000000000003,160.51
K01085,0.0,0.0
K01086,58.0,37.0
K01087,1037.0,393.5
K01089,628.34,549.01
K01090,2073.2,1612.97
K01091,3971.26,3115.07
K01092,3923.36,3102.0
K01093,5.5,28.5
K01095,1166.64,1041.09
K01096,56.25,0.0
K01101,236.0,141.0
K01104,3153.89,2601.0
K01113,998.93,1053.67
K01114,639.1800000000001,273.92
K01115,38.0,0.0
K01117,0.0,2.25
K01118,1503.86,847.5899999999999
K01119,376.5,141.0
K01120,172.34000000000003,167.42000000000002
K01121,0.0,0.0
K01126,3779.07,2985.18
K01128,0.0,6.0
K01129,2002.14,1626.84
K01130,2395.26,1742.4299999999998
K01133,98.22,65.5
K01134,12.5,16.0
K01135,0.0,0.0
K01136,3.0,8.5
K01137,12.0,94.5
K01138,93.33,124.08
K01139,684.3,443.58
K01141,530.22,299.5
K01142,4182.75,2867.25
K01144,169.5,121.0
K01146,0.0,60.0
K01147,387.33,226.08
K01150,109.22,152.0
K01151,762.0,823.0
K01153,2339.58,2435.91
K01154,2038.46,2196.9
K01155,87.5,46.0
K01156,379.33,92.83
K01158,0.0,0.0
K01159,2506.31,2356.67
K01160,57.0,19.0
K01163,63.0,64.5
K01166,446.75,174.0
K01167,198.0,79.5
K01169,0.0,0.0
K01170,0.0,26.0
K01173,461.92,201.33
K01174,132.0,211.5
K01175,0.0,67.0
K01176,262.34000000000003,185.51
K01178,39.0,6.0
K01179,1432.7400000000002,1299.33
K01180,1.67,0.0
K01181,459.18,462.52
K01182,120.0,84.25
K01183,298.01,158.51
K01184,0.0,18.0
K01185,275.25,74.0
K01186,160.0,159.5
K01187,2301.36,1607.37
K01188,6.5,1.5
K01190,1002.02,935.03
K01191,140.5,146.0
K01192,250.5,178.0
K01193,119.0,71.0
K01194,308.5,94.25
K01195,70.18,121.52
K01197,0.0,0.0
K01198,428.18,381.52
K01200,103.5,157.0
K01201,416.34,257.01
K01202,0.0,0.0
K01205,42.68,36.02
K01206,1345.4,1162.1
K01207,2321.31,1743.92
K01208,0.0,0.0
K01209,560.6800000000001,425.02
K01210,241.66,84.66
K01212,16.0,0.0
K01214,25.0,5.0
K01215,0.0,0.0
K01216,0.0,0.0
K01217,0.0,0.0
K01218,183.68,168.01999999999998
K01219,7.0,0.0
K01220,0.0,0.0
K01222,113.0,55.0
K01223,110.0,65.0
K01224,140.18,174.52
K01226,108.0,65.0
K01227,0.0,0.0
K01230,0.0,0.0
K01232,0.0,0.0
K01233,11.33,20.58
K01235,227.34,266.01
K01236,643.24,393.68
K01238,0.0,0.0
K01239,603.22,343.0
K01240,0.0,0.0
K01241,1226.39,700.8399999999999
K01243,859.72,632.0
K01244,5.0,0.0
K01246,1766.31,1679.67
K01247,1642.23,1037.59
K01250,9.0,0.0
K01251,2571.31,2370.67
K01252,83.0,78.0
K01253,29.0,0.0
K01255,3052.14,2064.41
K01256,1928.14,1141.66
K01258,488.0,535.75
K01259,1982.72,991.91
K01261,2.0,0.0
K01262,3011.04,2899.51
K01263,171.0,0.0
K01264,17.5,24.0
K01265,3949.79,3117.76
K01266,509.5100000000001,137.01
K01267,274.89,45.83
K01269,0.0,0.0
K01270,246.25,278.0
K01271,846.5,610.0
K01273,1658.74,1340.18
K01274,2.0,0.0
K01277,37.0,20.5
K01278,794.51,804.51
K01281,56.0,28.0
K01283,294.17,121.33
K01284,1029.34,674.76
K01286,1072.84,555.16
K01295,586.6700000000001,296.33
K01297,1471.23,1041.09
K01299,516.0,430.5
K01301,157.5,99.5
K01302,20.0,28.0
K01303,25.5,175.5
K01304,245.0,146.0
K01305,6.0,75.0
K01308,132.0,65.0
K01312,0.0,19.0
K01318,0.0,0.0
K01322,1553.1800000000003,971.42
K01325,0.0,0.0
K01337,20.0,2.5
K01338,3560.54,3412.15
K01340,0.0,7.5
K01342,0.0,40.0
K01347,0.0,0.0
K01354,916.06,484.26
K01355,0.0,0.0
K01356,2309.44,1728.41
K01358,3537.32,3227.76
K01361,45.0,50.0
K01372,148.34,136.26
K01387,0.0,0.0
K01389,0.0,0.0
K01392,115.92,59.33
K01399,327.5,46.0
K01400,172.0,0.0
K01401,0.0,0.0
K01406,110.5,48.0
K01407,0.0,60.0
K01408,25.0,9.0
K01409,2663.31,2473.17
K01414,905.69,669.91
K01415,88.0,136.32999999999998
