#OTU ID,SRR12327344_ALBARRACIN-ARIAS_2021,SRR12328004_ALBARRACIN-ARIAS_2021
K00240,0.07260967631283773,0.04066362830657398
K00241,0.07327991480021892,0.04243300936253276
K00242,0.060262248451901264,0.05829313018374867
K00243,0.08750733293804724,0.08868659779164567
K00244,0.07760458796024368,0.17951536909127766
K00245,0.056435252679170905,0.15814686496817493
K00246,0.05579564462013109,0.19903790682050432
K00247,0.05306606306158284,0.15742240578467154
K00248,0.06422949817350206,0.04914115468205787
K00249,0.051270271021708544,0.027605046661073145
K00252,0.058776386637135324,0.03579655997718391
K00253,0.06257474279010687,0.06436243718833672
K00254,0.06173470595133726,0.05348318348702293
K00255,0.03728204366456663,0.0
K00256,0.0,0.0
K00257,0.06354989500881854,0.03429972171917373
K00259,0.07082185567112073,0.04020225390370528
K00260,0.06536058438942582,0.12795439217737023
K00261,0.06672970256279341,0.02249130310188908
K00262,0.08105261251938517,0.041566076099909595
K00263,0.07258596118359122,0.11801337791175419
K00264,0.0,0.0
