,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
GLUCARDEG-PWY,0.9974060858230082,38.486024408288735,74.70840554038395,104.59803028782886,75.21679050752417,14.926804252451689,72.39385501417297
GLUCARGALACTSUPER-PWY,0.9974060858230082,38.16289098871562,70.07741372208704,103.3632772659224,74.48928127533149,14.783445599660869,64.97762302395903
GLUCONEO-PWY,1188.8951234992064,1848.0813809837443,1981.3435217063127,1869.3799696470924,2666.943365011772,2394.163321316241,2584.427673911088
GLUCOSE1PMETAB-PWY,0.0999963777302858,260.876699885694,379.8303241752009,493.42909397537335,746.0623622038784,468.00868015274693,642.4842544712026
GLUCUROCAT-PWY,7.734773887069188,114.63010865988805,212.5570382069433,565.812959369719,280.79790831012315,185.82101906862178,342.19001647438245
GLUTORN-PWY,2491.1011081708593,1499.800335274565,1790.0546763127084,1569.2470460770833,2527.6809530363544,2466.234523769197,2526.832420929238
GLYCOCAT-PWY,212.89021271786666,817.2110673829003,1266.708813534071,1613.1432997640738,2117.2797545198378,1837.249078402327,1654.9053292645685
GLYCOGENSYNTH-PWY,559.3499592227865,868.1232879028724,1175.1931471945086,1475.5659164726521,2325.030388914459,1994.6002559056758,1674.6648993403032
GLYCOL-GLYOXDEG-PWY,0.06486486486486485,0.9307333234338817,22.330980918617588,28.763126189161895,50.036751737086604,20.22045916579022,0.0
GLYCOLYSIS,1190.176008522278,1620.3628135132906,2041.1639758924678,1819.166763553311,2848.040445476158,2750.537413196776,2641.1246270125844
GLYCOLYSIS-E-D,143.1708779967591,768.7788475977075,1169.1475172128344,1412.309175842946,2181.944101415173,1735.2845448025837,2119.3390397029343
GLYCOLYSIS-TCA-GLYOX-BYPASS,18.44571615427419,431.28987628226986,1056.2971445179128,1162.772464405443,2201.2035075498598,1753.3734260533442,2265.0305635404893
GLYOXYLATE-BYPASS,7.0885029348255415,319.7936651009688,788.13035960494,776.1308919792692,1614.9934983402184,1064.9713366988717,1731.7084299048956
GOLPDLCAT-PWY,0.0,14.954410513623156,33.00888886780312,36.18159306761405,42.61447583239132,60.23465601330974,13.328631875881523
HCAMHPDEG-PWY,0.0717391304347826,1.8946822580660503,23.981209157265344,28.38626201122633,111.33997298349037,5.3914250550618075,168.680399395488
HEME-BIOSYNTHESIS-II,6.904495699340514,481.09231789929385,1022.5161375537813,759.7408600183599,1499.048279760813,1166.900052360082,1876.5340926949616
HEMESYN2-PWY,33.76323283014456,834.3363669002827,1493.3980554735501,1330.3400534308653,2248.7725236084416,2063.0284912841535,2561.5414464463283
HEXITOLDEGSUPER-PWY,6.909689341259372,100.23453049171528,123.0335222712614,416.9025900714061,445.24723246745015,325.03180646597747,329.9288377160335
HISDEG-PWY,29.969246031746035,953.8416070593388,821.4677318436208,863.6362157174478,1281.1239675708364,1021.4113149020151,1501.745094671296
HISTSYN-PWY,2673.0843746226446,1494.006470941,1866.1849570673646,1671.3582882795165,2497.4009122589614,2499.0515593082678,2520.579134526117
HOMOSER-METSYN-PWY,259.9555323942967,360.6664920696943,621.3469894361209,884.4464229402618,1220.8000606214966,891.8921814648116,1135.4751693513722
HSERMETANA-PWY,2346.2813439479332,836.7223093326073,1475.541048678442,1300.7947420623834,2494.461617303174,1520.1710125726702,2229.6807504130074
ILEUSYN-PWY,2932.3037398851357,2015.598805951992,2602.6709180444223,2541.025773524344,3852.3002410763997,3407.1704145707854,3827.990257483814
KDO-NAGLIPASYN-PWY,0.3861096754683502,17.11519681118437,82.40406050529795,407.15973639971264,158.5650588697725,181.18871756784068,87.97912628160054
KETOGLUCONMET-PWY,0.0,13.621199068931974,48.1755275590935,94.27112456683693,47.04103675118126,23.132946726087653,30.7173099724412
LACTOSECAT-PWY,0.0,0.07042004505163443,7.2907063241951136,6.277795953610598,41.401737532866186,34.716510509036894,0.0
LEU-DEG2-PWY,6.325953343542876,430.1772545963991,777.9585966485896,734.2716005692184,1450.3535911750298,964.0358895579052,1715.4541960975016
LIPASYN-PWY,0.0,0.33079140885188074,5.100433401182925,0.0,97.30170768279595,1.6810553356919096,42.1896979633113
LPSSYN-PWY,0.2613494405469046,9.58902753215998,6.244694717183587,130.87866107533944,8.117829419764018,3.5168912283920637,0.0
MET-SAM-PWY,456.4593414528654,587.0207092120115,905.5544009000413,1217.0798432205702,1670.324803221805,1320.3303851253795,1635.648469573125
METH-ACETATE-PWY,353.401178665054,394.6445067895998,388.77063200543034,359.3393899360028,489.3222340804721,796.6395985787112,45.38096027012039
