index	Group	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	Unassigned;__	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Archaea;p__Halobacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;__	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Campylobacterota
SRR30160150_CASTELLANO-HINOJOSA_2024	PEIXE	0.008073008073008073	0.21165321165321166	0.575991575991576	0.000702000702000702	0.0	0.000351000351000351	0.1274131274131274	0.033696033696033696	0.0	0.0	0.002808002808002808	0.019656019656019656	0.000351000351000351	0.0	0.0
SRR30160151_CASTELLANO-HINOJOSA_2024	PEIXE	0.20007020007020007	0.20393120393120392	0.26325026325026324	0.016146016146016146	0.0	0.01368901368901369	0.10740610740610741	0.09582309582309582	0.020007020007020006	0.03123903123903124	0.004914004914004914	0.015093015093015093	0.001404001404001404	0.006669006669006669	0.0
SRR30160152_CASTELLANO-HINOJOSA_2024	PEIXE	0.18532818532818532	0.20393120393120392	0.27623727623727623	0.01053001053001053	0.0	0.0171990171990172	0.12039312039312039	0.08073008073008073	0.023868023868023867	0.02527202527202527	0.004563004563004563	0.014742014742014743	0.000702000702000702	0.006318006318006318	0.0
SRR30160153_CASTELLANO-HINOJOSA_2024	PEIXE	0.12530712530712532	0.23376623376623376	0.3166023166023166	0.020007020007020006	0.0	0.00351000351000351	0.11583011583011583	0.09126009126009126	0.03825903825903826	0.013338013338013339	0.005616005616005616	0.016497016497016497	0.000351000351000351	0.00351000351000351	0.0
SRR30160154_CASTELLANO-HINOJOSA_2024	PEIXE	0.10003510003510004	0.21024921024921026	0.34854334854334856	0.015093015093015093	0.0	0.002106002106002106	0.11267111267111267	0.09968409968409968	0.03966303966303966	0.013338013338013339	0.005967005967005967	0.020358020358020357	0.0	0.004212004212004212	0.001755001755001755
SRR30160155_CASTELLANO-HINOJOSA_2024	PEIXE	0.4025974025974026	0.012987012987012988	0.3001053001053001	0.014391014391014392	0.0	0.001053001053001053	0.14355914355914356	0.003861003861003861	0.005616005616005616	0.01755001755001755	0.000702000702000702	0.04984204984204984	0.0	0.000351000351000351	0.007722007722007722
SRR30160156_CASTELLANO-HINOJOSA_2024	PEIXE	0.03825903825903826	0.29835029835029836	0.34784134784134785	0.003861003861003861	0.0	0.000702000702000702	0.11337311337311337	0.10845910845910846	0.011232011232011231	0.00351000351000351	0.002808002808002808	0.04563004563004563	0.0	0.004212004212004212	0.000351000351000351
SRR30160157_CASTELLANO-HINOJOSA_2024	PEIXE	0.048438048438048435	0.2755352755352755	0.44015444015444016	0.002106002106002106	0.0	0.000351000351000351	0.12214812214812215	0.05967005967005967	0.00351000351000351	0.001404001404001404	0.002808002808002808	0.02492102492102492	0.0	0.002106002106002106	0.0
SRR30160158_CASTELLANO-HINOJOSA_2024	PEIXE	0.01053001053001053	0.11337311337311337	0.5226395226395226	0.002808002808002808	0.0	0.0	0.20814320814320814	0.0694980694980695	0.000351000351000351	0.0	0.006669006669006669	0.020358020358020357	0.000351000351000351	0.000351000351000351	0.0
SRR30160159_CASTELLANO-HINOJOSA_2024	PEIXE	0.01053001053001053	0.20252720252720252	0.5917865917865918	0.002106002106002106	0.0	0.000351000351000351	0.10951210951210952	0.019656019656019656	0.0	0.0	0.003861003861003861	0.029835029835029836	0.0	0.000351000351000351	0.0
